tracking_number,current_location,delivery_stage,last_updated,delivery_agent
TRK10000,South Jennifer,Delivered,2026-01-01 19:29:46,Travis
TRK10001,North Jim,Processing,2026-01-08 16:51:45,Donna
TRK10002,Michaelborough,Shipped,2026-01-06 17:50:31,Donald
TRK10003,Jayland,Delivered,2026-01-01 19:10:00,Jacob
TRK10004,Millerbury,Processing,2026-01-02 04:46:57,Olivia
TRK10005,Ericfort,Processing,2026-01-01 23:13:41,Lisa
TRK10006,Port Valeriebury,Processing,2026-01-09 07:07:32,Michelle
TRK10007,East Michelebury,Processing,2026-01-07 06:10:01,Amy
TRK10008,New Alexander,Delivered,2026-01-05 11:05:41,Kathleen
TRK10009,Frenchmouth,Delivered,2026-01-06 02:12:09,Stephen
TRK10010,Jamesville,Shipped,2026-01-04 19:13:01,Chelsea
TRK10011,North Danielfurt,Processing,2026-01-01 05:37:26,Willie
TRK10012,Lake Justin,Processing,2026-01-02 17:42:23,Crystal
TRK10013,North Benjamin,Delivered,2026-01-02 10:03:29,Kelly
TRK10014,New Juanshire,Processing,2026-01-05 22:08:51,Kevin
TRK10015,Port Nicoleville,Processing,2026-01-09 08:51:45,Jessica
TRK10016,Austinshire,Delivered,2026-01-04 19:06:18,Caleb
TRK10017,Kristenbury,Delivered,2026-01-07 07:02:53,James
TRK10018,West Mariaborough,Delivered,2026-01-07 18:30:53,Gina
TRK10019,North Loriport,Shipped,2026-01-02 10:40:47,Alicia
TRK10020,Janiceside,Processing,2026-01-08 11:04:15,Amber
TRK10021,East Bobby,Delivered,2026-01-02 19:31:24,Martin
TRK10022,Lucasberg,Processing,2026-01-08 05:27:43,Lauren
TRK10023,Joneschester,Shipped,2026-01-06 14:51:11,Jason
TRK10024,West Douglasmouth,Processing,2026-01-01 13:54:39,Scott
TRK10025,Meredithfurt,Shipped,2026-01-02 04:46:56,Christian
TRK10026,North Alishabury,Shipped,2026-01-07 08:26:53,Ashley
TRK10027,Port Kaylashire,Shipped,2026-01-04 04:02:56,Mary
TRK10028,Adamfort,Processing,2026-01-09 02:18:37,Bryce
TRK10029,Goodwinmouth,Shipped,2026-01-03 17:03:37,Dustin
TRK10030,Edwardton,Shipped,2026-01-06 23:01:48,Karen
TRK10031,Port Michael,Processing,2026-01-04 12:46:56,Christopher
TRK10032,Kathleentown,Shipped,2026-01-01 02:30:27,Thomas
TRK10033,Alexandraside,Processing,2026-01-03 20:21:53,Nicole
TRK10034,Port Jamestown,Delivered,2026-01-06 18:12:23,Mary
TRK10035,Joebury,Delivered,2026-01-04 21:24:15,Sharon
TRK10036,West Carolineview,Delivered,2026-01-07 22:41:04,Clinton
TRK10037,East Johnny,Delivered,2026-01-06 17:40:19,Kenneth
TRK10038,Rogersshire,Delivered,2026-01-08 03:33:38,Gabrielle
TRK10039,Waltonshire,Processing,2026-01-06 16:10:53,Jessica
TRK10040,Hernandezchester,Shipped,2026-01-02 12:19:54,Chelsea
TRK10041,Molinahaven,Delivered,2026-01-06 20:43:58,Christopher
TRK10042,Taylorberg,Shipped,2026-01-07 19:02:03,Justin
TRK10043,South Kimberlyburgh,Processing,2026-01-08 21:48:00,William
TRK10044,Michellechester,Shipped,2026-01-06 18:44:08,Thomas
TRK10045,New Susan,Processing,2026-01-04 11:14:16,Jeffrey
TRK10046,Melissatown,Shipped,2026-01-06 00:12:16,Donna
TRK10047,Contrerashaven,Delivered,2026-01-04 16:00:18,Samuel
TRK10048,Andersonbury,Delivered,2026-01-02 07:14:17,Anna
TRK10049,Hensleychester,Delivered,2026-01-05 07:59:10,Kevin
TRK10050,New Christian,Shipped,2026-01-07 20:29:00,Christopher
TRK10051,Hansenside,Delivered,2026-01-07 05:54:26,Kent
TRK10052,Lake Chloe,Shipped,2026-01-06 07:06:30,Jennifer
TRK10053,East Patrickchester,Shipped,2026-01-09 05:57:12,Dakota
TRK10054,New Meghanshire,Shipped,2026-01-03 02:11:47,Sara
TRK10055,East Madison,Delivered,2026-01-08 01:25:46,Donald
TRK10056,Bartonberg,Processing,2026-01-08 17:52:46,Andrew
TRK10057,Brownfurt,Shipped,2026-01-08 18:00:53,Julia
TRK10058,West Rodney,Shipped,2026-01-06 02:48:44,Nicholas
TRK10059,Parkerberg,Processing,2026-01-04 18:07:30,Jennifer
TRK10060,Lake Maria,Delivered,2026-01-08 14:40:36,Lindsay
TRK10061,North Dominiquestad,Shipped,2026-01-02 03:51:12,Brittany
TRK10062,Josephmouth,Processing,2026-01-08 15:50:28,Charles
TRK10063,East Lisahaven,Shipped,2026-01-02 23:07:56,Chris
TRK10064,East Joanna,Shipped,2026-01-03 02:54:24,James
TRK10065,North Jamesport,Processing,2026-01-01 18:07:33,Kimberly
TRK10066,Lake Randyside,Processing,2026-01-04 23:26:19,Antonio
TRK10067,West Jeffreyville,Shipped,2026-01-08 15:31:24,Joel
TRK10068,Davidshire,Delivered,2026-01-07 09:48:17,Joanna
TRK10069,New Tanya,Processing,2026-01-08 14:44:43,Matthew
TRK10070,Reginaldburgh,Processing,2026-01-04 04:12:16,Jennifer
TRK10071,South Katie,Delivered,2026-01-02 06:49:28,Lance
TRK10072,Ortizfurt,Processing,2026-01-01 22:28:40,Michael
TRK10073,South Darrell,Processing,2026-01-08 20:37:04,Sarah
TRK10074,Jessicaburgh,Shipped,2026-01-05 08:10:24,Lisa
