order_id,customer_id,product_id,quantity,order_date,order_status,payment_status,delivery_status,delivery_eta,shipping_provider,tracking_number
O9000,C5097,P1048,1,2026-01-04,Delivered,Paid,Delivered,2026-01-02,FedEx,TRK10000
O9001,C5116,P1095,5,2026-01-07,Processing,Paid,Processing,2026-01-08,FedEx,TRK10001
O9002,C5076,P1010,3,2026-01-04,Shipped,Paid,Shipped,2026-01-06,DHL,TRK10002
O9003,C5110,P1117,2,2026-01-07,Delivered,Paid,Delivered,2026-01-07,BlueDart,TRK10003
O9004,C5040,P1098,2,2026-01-07,Processing,Paid,Processing,2026-01-01,BlueDart,TRK10004
O9005,C5009,P1041,3,2026-01-02,Processing,Paid,Processing,2026-01-08,FedEx,TRK10005
O9006,C5079,P1004,2,2026-01-07,Processing,Paid,Processing,2026-01-04,BlueDart,TRK10006
O9007,C5003,P1133,3,2026-01-04,Processing,Paid,Processing,2026-01-03,BlueDart,TRK10007
O9008,C5124,P1115,1,2026-01-06,Delivered,Paid,Delivered,2026-01-08,BlueDart,TRK10008
O9009,C5124,P1039,4,2026-01-04,Delivered,Paid,Delivered,2026-01-04,BlueDart,TRK10009
O9010,C5073,P1052,2,2026-01-03,Shipped,Paid,Shipped,2026-01-08,FedEx,TRK10010
O9011,C5062,P1024,2,2026-01-03,Processing,Paid,Processing,2026-01-04,DHL,TRK10011
O9012,C5060,P1072,3,2026-01-04,Processing,Paid,Processing,2026-01-05,BlueDart,TRK10012
O9013,C5000,P1121,3,2026-01-07,Delivered,Paid,Delivered,2026-01-01,FedEx,TRK10013
O9014,C5143,P1006,4,2026-01-08,Processing,Paid,Processing,2026-01-08,DHL,TRK10014
O9015,C5022,P1094,5,2026-01-08,Processing,Paid,Processing,2026-01-02,BlueDart,TRK10015
O9016,C5052,P1027,1,2026-01-04,Delivered,Paid,Delivered,2026-01-03,DHL,TRK10016
O9017,C5048,P1142,3,2026-01-08,Delivered,Paid,Delivered,2026-01-04,DHL,TRK10017
O9018,C5078,P1032,2,2026-01-05,Delivered,Paid,Delivered,2026-01-06,BlueDart,TRK10018
O9019,C5143,P1038,3,2026-01-04,Shipped,Paid,Shipped,2026-01-04,FedEx,TRK10019
