product_id,name,category,brand,price,currency,rating,stock_status,description,warranty_months,returnable
P1000,Home,Clothing,House-Smith,1151,INR,4.2,In Stock,Close alone especially himself large oil.,12,Yes
P1001,Any,Clothing,"Taylor, Cabrera and Zimmerman",8453,INR,4.7,Out of Stock,Boy class quite theory ready.,24,No
P1002,Water,Clothing,"Williams, Scott and Smith",6145,INR,4.5,In Stock,Police miss data south choose hand.,0,No
P1003,Enjoy,Electronics,Taylor PLC,2244,INR,3.7,Out of Stock,Expect not member show.,24,Yes
P1004,Join,Clothing,Hernandez PLC,8593,INR,4.9,Out of Stock,Or gas small.,12,Yes
P1005,Already,Home,Wagner-Martin,365,INR,3.9,In Stock,The perform edge population.,24,No
P1006,Relate,Home,Johnson Group,4035,INR,4.6,In Stock,Final national use whole speak.,0,Yes
P1007,Chance,Clothing,"Ryan, Jones and Ortega",6975,INR,3.1,Out of Stock,Person trial reflect operation.,24,Yes
P1008,Perform,Electronics,Williams-Perry,9814,INR,3.3,In Stock,Brother rise gun improve pull war herself.,6,Yes
P1009,Anyone,Clothing,Frazier and Sons,6905,INR,5.0,In Stock,Nation produce I.,12,Yes
P1010,Follow,Home,"Smith, Ramirez and Roy",5923,INR,3.8,In Stock,Director north Democrat raise common child movement form.,0,No
P1011,Feeling,Home,Torres Ltd,6266,INR,4.6,Out of Stock,Group usually investment during certain citizen.,0,Yes
P1012,Fight,Clothing,Mason-Peck,9236,INR,4.5,In Stock,Condition matter happen seek.,12,Yes
P1013,Newspaper,Clothing,Palmer Ltd,5961,INR,3.1,In Stock,Assume responsibility so now compare event.,6,Yes
P1014,Painting,Home,"Tucker, Moreno and Craig",8373,INR,4.9,In Stock,Whole however message west.,12,Yes
P1015,Factor,Home,"Flynn, Khan and Mcknight",5759,INR,4.7,Out of Stock,Themselves edge per research response.,0,Yes
P1016,Not,Clothing,"Deleon, Hoffman and Bass",2230,INR,4.5,Out of Stock,Ever ask great.,0,No
P1017,Simple,Clothing,Banks Inc,9723,INR,3.9,In Stock,Serve way knowledge vote local himself.,12,No
P1018,Turn,Electronics,"Travis, Mullins and Small",8678,INR,3.2,In Stock,Relationship health respond set point some support.,24,Yes
P1019,Hard,Beauty,Leonard Ltd,5583,INR,3.6,In Stock,Including live any beautiful much while.,24,Yes
P1020,Air,Clothing,Olson PLC,5466,INR,4.7,In Stock,Teacher understand body enjoy.,24,No
P1021,Toward,Clothing,"Evans, Porter and Johnson",5587,INR,4.5,In Stock,Present specific detail answer claim suffer nearly.,0,Yes
P1022,Positive,Clothing,Vargas-Vargas,1528,INR,4.6,Out of Stock,However PM those cold idea tough.,6,No
P1023,Begin,Beauty,"Villa, Flores and Rodriguez",3563,INR,3.4,In Stock,Source these strong technology high.,6,No
P1024,Home,Electronics,Collins Group,206,INR,3.9,Out of Stock,Sort expect perhaps should someone tax before.,12,Yes
P1025,Feeling,Clothing,Swanson-Schmidt,6197,INR,4.2,Out of Stock,Stage protect rich home speak each.,12,Yes
P1026,Stop,Clothing,Davenport-Austin,8839,INR,3.2,Out of Stock,Better window short me knowledge sense.,12,No
P1027,Party,Beauty,"Romero, Andrews and Richardson",3519,INR,4.1,Out of Stock,Today morning believe behind open by word.,24,Yes
P1028,Lawyer,Beauty,Baker-Adams,8216,INR,4.7,In Stock,Imagine try adult gas.,0,Yes
P1029,Dog,Beauty,Huerta-Little,8693,INR,4.2,In Stock,Information Republican spend will.,6,Yes
P1030,Occur,Home,"Smith, Gallagher and Swanson",2906,INR,3.6,Out of Stock,Type magazine Republican remember star move.,12,No
P1031,New,Home,Griffin-Sanders,5960,INR,3.2,Out of Stock,Support data receive as cost.,12,Yes
P1032,Could,Beauty,Martinez Group,4233,INR,3.5,Out of Stock,Drug test sea color east.,0,No
P1033,Decide,Home,Montgomery-Taylor,8979,INR,4.8,In Stock,Conference stage very.,24,No
P1034,Congress,Electronics,"Stephens, Nunez and Parker",5492,INR,3.2,Out of Stock,Challenge herself economy town sea stage.,12,Yes
P1035,Song,Beauty,Sherman-Spencer,9372,INR,4.9,Out of Stock,Address hour rise then hear.,24,Yes
P1036,Just,Clothing,Olson LLC,882,INR,4.0,In Stock,Attack drug agree cup thousand follow speak population.,24,No
P1037,Defense,Beauty,White-Burns,9690,INR,3.9,In Stock,Message cost page.,24,Yes
P1038,Past,Beauty,Scott-Roman,8642,INR,4.1,Out of Stock,Democrat stock significant system nation shake order.,0,Yes
P1039,Store,Clothing,Love-Mckay,7676,INR,3.0,Out of Stock,Fall career conference since determine.,24,Yes
P1040,Ever,Electronics,Hodge-Woods,289,INR,3.8,Out of Stock,Health soldier grow run.,0,Yes
P1041,Nearly,Clothing,"Keller, Morales and Valenzuela",9191,INR,4.8,Out of Stock,Yeah go leader attack author.,24,No
P1042,Condition,Electronics,Dudley Inc,4772,INR,3.8,Out of Stock,Situation few perhaps dinner writer head offer.,24,Yes
P1043,If,Electronics,Dean-Carney,3403,INR,4.2,Out of Stock,Else government message.,12,No
P1044,Term,Home,Frank-Gibson,8948,INR,4.5,Out of Stock,Serve peace partner according including difference enough call.,24,Yes
P1045,Claim,Beauty,Myers Ltd,9485,INR,4.3,In Stock,Clear young available enter money thing.,24,No
P1046,Treat,Electronics,"Weaver, Brown and Edwards",3486,INR,5.0,In Stock,Seven free real walk home fill color.,6,Yes
P1047,Majority,Electronics,"May, Lopez and Brown",6586,INR,4.4,Out of Stock,Learn fall degree.,6,Yes
P1048,Economic,Electronics,"Dixon, Bailey and Anderson",2562,INR,3.5,Out of Stock,Difficult off exactly traditional view role.,24,Yes
P1049,Reach,Beauty,Johnson-Pena,5763,INR,4.3,In Stock,Economic project positive place common visit around.,6,Yes
P1050,Education,Clothing,"Brown, Carpenter and Roberts",6645,INR,4.0,Out of Stock,Seven add yard buy hear task good.,0,Yes
